representation,training_steps,avg_reward,std_reward,success_rate,std_success,seed_rewards,seed_success
narrow,50000,518.0170767103712,38.11051375108977,0.8454,0.056632499503377044,"[517.6287806098268, 563.3677235410346, 556.5625475913092, 522.9459250654335, 438.94569282293634, 532.4141875354396, 535.3268389847855, 457.1075748585606, 515.8668240610481, 540.0046720333381]","[0.85, 0.892, 0.936, 0.83, 0.742, 0.858, 0.878, 0.75, 0.864, 0.854]"
wide,50000,150.09881309740507,25.239275263733443,0.13720000000000002,0.03146045136357709,"[162.7260216965919, 145.70889629567, 172.90902478293884, 109.92783614074665, 162.9537555072856, 147.04066779627522, 123.83987450332549, 138.0002739152146, 134.75812254367827, 203.12365779232408]","[0.124, 0.118, 0.128, 0.108, 0.17, 0.15, 0.11, 0.136, 0.114, 0.214]"
narrow,100000,445.93261467460286,52.09702340557391,0.7300000000000001,0.10555756723229273,"[421.7678780306674, 468.13557728976303, 539.1599482151302, 430.9226824769517, 401.9351628909353, 406.1416749929361, 480.02678169473677, 476.851555433922, 487.39919442009426, 346.9856913008924]","[0.676, 0.764, 0.904, 0.704, 0.656, 0.622, 0.84, 0.8, 0.798, 0.536]"
wide,100000,223.99934771240342,16.72938237959923,0.25980000000000003,0.028781243892507496,"[241.68703051500412, 246.01084874465093, 213.1818555567369, 194.81219821882146, 214.30904688216629, 215.02137961729943, 207.06734248489408, 235.25716049176697, 227.9341099589041, 244.7125046537898]","[0.268, 0.294, 0.208, 0.254, 0.222, 0.266, 0.272, 0.27, 0.238, 0.306]"
narrow,200000,520.0340647693912,53.93196102104868,0.8598000000000001,0.09981362632426499,"[364.61042792765437, 544.5980434898391, 517.5258564640579, 559.8188625783383, 525.1301563773845, 539.7967050795495, 535.2431285639939, 556.6806672979617, 545.8530165802102, 511.08378333492146]","[0.57, 0.9, 0.864, 0.93, 0.856, 0.87, 0.904, 0.936, 0.888, 0.88]"
wide,200000,313.760951247814,23.683336246765396,0.38539999999999996,0.04780836746846727,"[323.1211311581427, 323.99111466645184, 306.49336978107647, 259.8723040363237, 337.87962404398405, 334.2170391208671, 317.11636247796855, 281.01339154504086, 323.20632322224253, 330.69885242604124]","[0.398, 0.488, 0.356, 0.368, 0.382, 0.448, 0.308, 0.374, 0.356, 0.376]"
narrow,500000,530.3218800952656,25.551185822823495,0.8459999999999999,0.048158073051151044,"[543.5011640969701, 560.5630454679695, 537.4868203155462, 500.0705827408764, 525.8228673452882, 567.3014830633059, 541.4686683610247, 480.6870044851621, 537.2245417837689, 509.0926232927422]","[0.868, 0.9, 0.86, 0.824, 0.784, 0.882, 0.922, 0.758, 0.832, 0.83]"
wide,500000,367.99690602388665,20.36196363585186,0.517,0.046769648277488675,"[361.49907302685267, 374.25439537551637, 406.88215405684804, 394.1288904035734, 364.6862983823775, 382.5943845030474, 338.232042524374, 349.3645769298598, 358.02999999680884, 350.2972450396081]","[0.44, 0.564, 0.522, 0.592, 0.532, 0.552, 0.488, 0.51, 0.528, 0.442]"
narrow,750000,523.2214230808089,26.485374540788804,0.7928000000000001,0.05173161509174056,"[494.12887742465796, 523.4442677918233, 546.9162922083555, 475.45452413190344, 549.3162404480511, 522.8089660149963, 534.183927799252, 540.2635251274777, 489.4332078220376, 556.2644020395346]","[0.742, 0.77, 0.858, 0.726, 0.808, 0.758, 0.874, 0.826, 0.73, 0.836]"
wide,750000,376.32741181636396,22.08058293264713,0.5448,0.03881443030626625,"[393.909415493637, 385.80129172066927, 357.3332320441871, 389.4639185551688, 409.6658667700922, 376.4481927961737, 383.8298456779077, 362.7944290950686, 325.461085476827, 378.56684053390774]","[0.56, 0.556, 0.488, 0.606, 0.582, 0.568, 0.562, 0.524, 0.526, 0.476]"
narrow,1000000,515.1447463617584,21.631890277892147,0.72,0.053792192742069936,"[495.50965888214233, 522.3852302960003, 468.4751092168144, 543.3979159518756, 523.025685288394, 538.5651505384669, 505.3694254256523, 509.8697659716335, 537.0042809786092, 507.8452410679952]","[0.748, 0.78, 0.606, 0.734, 0.782, 0.694, 0.768, 0.654, 0.708, 0.726]"
wide,1000000,378.68229390687054,21.695070673581608,0.5448,0.05619394985227502,"[377.8304570051125, 377.0747115394498, 375.2172301516499, 343.4498260703967, 372.8271339627384, 377.74537448014576, 363.04577833667264, 433.43561746056076, 391.2692575326888, 374.9275525292902]","[0.528, 0.59, 0.464, 0.54, 0.486, 0.53, 0.494, 0.664, 0.564, 0.588]"
